Sample ID	Diversity	DiversityID	Pert1	Pert2 	Temp	pH	Phylogenetic Resolution
10H-A-DNA_Reads_non_singletons_gap	1.247	Active	Temp	Maintained	7.5	25	90
11H-A-DNA_Reads_non_singletons_gap	1.435	Active	Temp	Maintained	7.5	25	90
13H-A-DNA_Reads_non_singletons_gap	1.121	Active	Temp	Perturbed	6	15	90
14H-A-DNA_Reads_non_singletons_gap	1.082	Active	Temp	Perturbed	6	15	90
15H-A-DNA_Reads_non_singletons_gap	1.134	Active	Temp	Perturbed	6	15	90
17H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	4.5	15	90
18H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	4.5	15	90
19H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	4.5	15	90
21H-A-DNA_Reads_non_singletons_gap	0.825	Active	Temp	Perturbed	7.5	15	90
22H-A-DNA_Reads_non_singletons_gap	0.886	Active	Temp	Perturbed	7.5	15	90
23H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	7.5	15	90
NBAF33-A33_Reads_non_singletons_gap	0.889	Active	Temp	Perturbed	7.5	15	90
26H-A-DNA_Reads_non_singletons_gap	0.488	Active	Temp	Perturbed	6	35	90
27H-A-DNA_Reads_non_singletons_gap	0.384	Active	Temp	Perturbed	6	35	90
28H-A-DNA_Reads_non_singletons_gap	0.572	Active	Temp	Perturbed	6	35	90
29H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	4.5	35	90
30H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	4.5	35	90
31H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	4.5	35	90
33H-A-DNA_Reads_non_singletons_gap	1.017	Active	Temp	Perturbed	7.5	35	90
34H-A-DNA_Reads_non_singletons_gap	1.652	Active	Temp	Perturbed	7.5	35	90
35H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	7.5	35	90
AOA68_Reads_non_singletons_gap	0.578	Active	Temp	Perturbed	7.5	35	90
37H-A-DNA_Reads_non_singletons_gap	0.605	Active	pH	Maintained	6	25	90
38H-A-DNA_Reads_non_singletons_gap	1.112	Active	pH	Maintained	6	25	90
39H-A-DNA_Reads_non_singletons_gap	2.180	Active	pH	Maintained	6	25	90
41H-A-DNA_Reads_non_singletons_gap	2.012	Active	pH	Maintained	6	15	90
42H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Maintained	6	15	90
43H-A-DNA_Reads_non_singletons_gap	1.787	Active	pH	Maintained	6	15	90
AOA84_Reads_non_singletons_gap	1.868	Active	pH	Maintained	6	15	90
45H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Maintained	6	35	90
46H-A-DNA_Reads_non_singletons_gap	0.508	Active	pH	Maintained	6	35	90
47H-A-DNA_Reads_non_singletons_gap	0.394	Active	pH	Maintained	6	35	90
NBAF45-A45_Reads_non_singletons_gap	0.608	Active	pH	Maintained	6	35	90
49H-A-DNA_Reads_non_singletons_gap	1.874	Active	pH	Perturbed	4.5	25	90
50H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	25	90
51H-A-DNA_Reads_non_singletons_gap	1.831	Active	pH	Perturbed	4.5	25	90
AOA100_Reads_non_singletons_gap	1.535	Active	pH	Perturbed	4.5	25	90
53H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	15	90
54H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	15	90
55H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	15	90
57H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	35	90
58H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	35	90
59H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	35	90
NBAF71-A73_reads_without_singletons_id_1	0.000	Active	pH	Perturbed	7.5	25	90
63H-A-DNA_Reads_non_singletons_gap	1.482	Active	pH	Perturbed	7.5	25	90
64H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	7.5	25	90
65H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	7.5	15	90
66H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	7.5	15	90
67H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	7.5	15	90
69H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	7.5	35	90
70H-A-DNA_Reads_non_singletons_gap	1.748	Active	pH	Perturbed	7.5	35	90
71H-A-DNA_Reads_non_singletons_gap	1.177	Active	pH	Perturbed	7.5	35	90
AOA140_Reads_non_singletons_gap	0.755	Active	pH	Perturbed	7.5	35	90
2H-A-DNA_Reads_non_singletons_gap	1.921	Total	Temp	Maintained	6	25	85
3H-A-DNA_Reads_non_singletons_gap	1.950	Total	Temp	Maintained	6	25	85
4H-A-DNA_Reads_non_singletons_gap	1.922	Total	Temp	Maintained	6	25	85
5H-A-DNA_Reads_non_singletons_gap	1.678	Total	Temp	Maintained	4.5	25	85
6H-A-DNA_Reads_non_singletons_gap	1.689	Total	Temp	Maintained	4.5	25	85
7H-A-DNA_Reads_non_singletons_gap	1.716	Total	Temp	Maintained	4.5	25	85
9H-A-DNA_Reads_non_singletons_gap	1.401	Total	Temp	Maintained	7.5	25	85
10H-A-DNA_Reads_non_singletons_gap	1.400	Total	Temp	Maintained	7.5	25	85
11H-A-DNA_Reads_non_singletons_gap	1.416	Total	Temp	Maintained	7.5	25	85
13H-A-DNA_Reads_non_singletons_gap	1.953	Total	Temp	Perturbed	6	15	85
14H-A-DNA_Reads_non_singletons_gap	1.828	Total	Temp	Perturbed	6	15	85
15H-A-DNA_Reads_non_singletons_gap	1.901	Total	Temp	Perturbed	6	15	85
17H-A-DNA_Reads_non_singletons_gap	1.633	Total	Temp	Perturbed	4.5	15	85
18H-A-DNA_Reads_non_singletons_gap	1.684	Total	Temp	Perturbed	4.5	15	85
19H-A-DNA_Reads_non_singletons_gap	1.597	Total	Temp	Perturbed	4.5	15	85
21H-A-DNA_Reads_non_singletons_gap	1.704	Total	Temp	Perturbed	7.5	15	85
22H-A-DNA_Reads_non_singletons_gap	1.384	Total	Temp	Perturbed	7.5	15	85
23H-A-DNA_Reads_non_singletons_gap	1.355	Total	Temp	Perturbed	7.5	15	85
NBAF33-A33_Reads_non_singletons_gap	n/a	Total	Temp	Perturbed	7.5	15	85
26H-A-DNA_Reads_non_singletons_gap	1.611	Total	Temp	Perturbed	6	35	85
27H-A-DNA_Reads_non_singletons_gap	1.753	Total	Temp	Perturbed	6	35	85
28H-A-DNA_Reads_non_singletons_gap	1.752	Total	Temp	Perturbed	6	35	85
29H-A-DNA_Reads_non_singletons_gap	1.111	Total	Temp	Perturbed	4.5	35	85
30H-A-DNA_Reads_non_singletons_gap	1.044	Total	Temp	Perturbed	4.5	35	85
31H-A-DNA_Reads_non_singletons_gap	1.064	Total	Temp	Perturbed	4.5	35	85
33H-A-DNA_Reads_non_singletons_gap	1.522	Total	Temp	Perturbed	7.5	35	85
34H-A-DNA_Reads_non_singletons_gap	1.545	Total	Temp	Perturbed	7.5	35	85
35H-A-DNA_Reads_non_singletons_gap	1.565	Total	Temp	Perturbed	7.5	35	85
AOA68_Reads_non_singletons_gap	n/a	Total	Temp	Perturbed	7.5	35	85
37H-A-DNA_Reads_non_singletons_gap	1.906	Total	pH	Maintained	6	25	85
38H-A-DNA_Reads_non_singletons_gap	1.928	Total	pH	Maintained	6	25	85
39H-A-DNA_Reads_non_singletons_gap	1.878	Total	pH	Maintained	6	25	85
41H-A-DNA_Reads_non_singletons_gap	2.019	Total	pH	Maintained	6	15	85
42H-A-DNA_Reads_non_singletons_gap	2.030	Total	pH	Maintained	6	15	85
43H-A-DNA_Reads_non_singletons_gap	2.089	Total	pH	Maintained	6	15	85
AOA84_Reads_non_singletons_gap	n/a	Total	pH	Maintained	6	15	85
45H-A-DNA_Reads_non_singletons_gap	1.693	Total	pH	Maintained	6	35	85
46H-A-DNA_Reads_non_singletons_gap	1.597	Total	pH	Maintained	6	35	85
47H-A-DNA_Reads_non_singletons_gap	1.504	Total	pH	Maintained	6	35	85
NBAF45-A45_Reads_non_singletons_gap	n/a	Total	pH	Maintained	6	35	85
49H-A-DNA_Reads_non_singletons_gap	1.468	Total	pH	Perturbed	4.5	25	85
50H-A-DNA_Reads_non_singletons_gap	1.427	Total	pH	Perturbed	4.5	25	85
51H-A-DNA_Reads_non_singletons_gap	1.132	Total	pH	Perturbed	4.5	25	85
AOA100_Reads_non_singletons_gap	n/a	Total	pH	Perturbed	4.5	25	85
53H-A-DNA_Reads_non_singletons_gap	1.795	Total	pH	Perturbed	4.5	15	85
54H-A-DNA_Reads_non_singletons_gap	1.717	Total	pH	Perturbed	4.5	15	85
55H-A-DNA_Reads_non_singletons_gap	1.790	Total	pH	Perturbed	4.5	15	85
57H-A-DNA_Reads_non_singletons_gap	1.568	Total	pH	Perturbed	4.5	35	85
58H-A-DNA_Reads_non_singletons_gap	1.622	Total	pH	Perturbed	4.5	35	85
59H-A-DNA_Reads_non_singletons_gap	1.631	Total	pH	Perturbed	4.5	35	85
NBAF71-A73_reads_without_singletons_id_1	n/a	Total	pH	Perturbed	7.5	25	85
63H-A-DNA_Reads_non_singletons_gap	1.733	Total	pH	Perturbed	7.5	25	85
64H-A-DNA_Reads_non_singletons_gap	1.795	Total	pH	Perturbed	7.5	25	85
65H-A-DNA_Reads_non_singletons_gap	2.055	Total	pH	Perturbed	7.5	15	85
66H-A-DNA_Reads_non_singletons_gap	2.080	Total	pH	Perturbed	7.5	15	85
67H-A-DNA_Reads_non_singletons_gap	2.026	Total	pH	Perturbed	7.5	15	85
69H-A-DNA_Reads_non_singletons_gap	1.806	Total	pH	Perturbed	7.5	35	85
70H-A-DNA_Reads_non_singletons_gap	1.636	Total	pH	Perturbed	7.5	35	85
71H-A-DNA_Reads_non_singletons_gap	1.654	Total	pH	Perturbed	7.5	35	85
AOA140_Reads_non_singletons_gap	n/a	Total	pH	Perturbed	7.5	35	85
2H-A-DNA_Reads_non_singletons_gap	1.078	Active	Temp	Maintained	6	25	85
3H-A-DNA_Reads_non_singletons_gap	0.694	Active	Temp	Maintained	6	25	85
4H-A-DNA_Reads_non_singletons_gap	0.637	Active	Temp	Maintained	6	25	85
5H-A-DNA_Reads_non_singletons_gap	1.311	Active	Temp	Maintained	4.5	25	85
6H-A-DNA_Reads_non_singletons_gap	1.520	Active	Temp	Maintained	4.5	25	85
7H-A-DNA_Reads_non_singletons_gap	1.339	Active	Temp	Maintained	4.5	25	85
9H-A-DNA_Reads_non_singletons_gap	1.367	Active	Temp	Maintained	7.5	25	85
10H-A-DNA_Reads_non_singletons_gap	0.741	Active	Temp	Maintained	7.5	25	85
11H-A-DNA_Reads_non_singletons_gap	0.953	Active	Temp	Maintained	7.5	25	85
13H-A-DNA_Reads_non_singletons_gap	0.718	Active	Temp	Perturbed	6	15	85
14H-A-DNA_Reads_non_singletons_gap	0.661	Active	Temp	Perturbed	6	15	85
15H-A-DNA_Reads_non_singletons_gap	0.707	Active	Temp	Perturbed	6	15	85
17H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	4.5	15	85
18H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	4.5	15	85
19H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	4.5	15	85
21H-A-DNA_Reads_non_singletons_gap	0.508	Active	Temp	Perturbed	7.5	15	85
22H-A-DNA_Reads_non_singletons_gap	0.619	Active	Temp	Perturbed	7.5	15	85
23H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	7.5	15	85
NBAF33-A33_Reads_non_singletons_gap	0.601	Active	Temp	Perturbed	7.5	15	85
26H-A-DNA_Reads_non_singletons_gap	0.041	Active	Temp	Perturbed	6	35	85
27H-A-DNA_Reads_non_singletons_gap	0.070	Active	Temp	Perturbed	6	35	85
28H-A-DNA_Reads_non_singletons_gap	0.093	Active	Temp	Perturbed	6	35	85
29H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	4.5	35	85
30H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	4.5	35	85
31H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	4.5	35	85
33H-A-DNA_Reads_non_singletons_gap	0.418	Active	Temp	Perturbed	7.5	35	85
34H-A-DNA_Reads_non_singletons_gap	1.554	Active	Temp	Perturbed	7.5	35	85
35H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	7.5	35	85
AOA68_Reads_non_singletons_gap	0.578	Active	Temp	Perturbed	7.5	35	85
37H-A-DNA_Reads_non_singletons_gap	0.599	Active	pH	Maintained	6	25	85
38H-A-DNA_Reads_non_singletons_gap	1.093	Active	pH	Maintained	6	25	85
39H-A-DNA_Reads_non_singletons_gap	1.849	Active	pH	Maintained	6	25	85
41H-A-DNA_Reads_non_singletons_gap	1.740	Active	pH	Maintained	6	15	85
42H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Maintained	6	15	85
43H-A-DNA_Reads_non_singletons_gap	1.522	Active	pH	Maintained	6	15	85
AOA84_Reads_non_singletons_gap	1.166	Active	pH	Maintained	6	15	85
45H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Maintained	6	35	85
46H-A-DNA_Reads_non_singletons_gap	0.430	Active	pH	Maintained	6	35	85
47H-A-DNA_Reads_non_singletons_gap	0.310	Active	pH	Maintained	6	35	85
NBAF45-A45_Reads_non_singletons_gap	0.531	Active	pH	Maintained	6	35	85
49H-A-DNA_Reads_non_singletons_gap	1.235	Active	pH	Perturbed	4.5	25	85
50H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	25	85
51H-A-DNA_Reads_non_singletons_gap	1.171	Active	pH	Perturbed	4.5	25	85
AOA100_Reads_non_singletons_gap	0.734	Active	pH	Perturbed	4.5	25	85
53H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	15	85
54H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	15	85
55H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	15	85
57H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	35	85
58H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	35	85
59H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	35	85
NBAF71-A73_reads_without_singletons_id_1	0.000	Active	pH	Perturbed	7.5	25	85
63H-A-DNA_Reads_non_singletons_gap	0.924	Active	pH	Perturbed	7.5	25	85
64H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	7.5	25	85
65H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	7.5	15	85
66H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	7.5	15	85
67H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	7.5	15	85
69H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	7.5	35	85
70H-A-DNA_Reads_non_singletons_gap	0.917	Active	pH	Perturbed	7.5	35	85
71H-A-DNA_Reads_non_singletons_gap	0.385	Active	pH	Perturbed	7.5	35	85
AOA140_Reads_non_singletons_gap	0.093	Active	pH	Perturbed	7.5	35	85
2H-A-DNA_Reads_non_singletons_gap	1.877	Total	Temp	Maintained	6	25	80
3H-A-DNA_Reads_non_singletons_gap	1.895	Total	Temp	Maintained	6	25	80
4H-A-DNA_Reads_non_singletons_gap	1.868	Total	Temp	Maintained	6	25	80
5H-A-DNA_Reads_non_singletons_gap	1.226	Total	Temp	Maintained	4.5	25	80
6H-A-DNA_Reads_non_singletons_gap	1.231	Total	Temp	Maintained	4.5	25	80
7H-A-DNA_Reads_non_singletons_gap	1.262	Total	Temp	Maintained	4.5	25	80
9H-A-DNA_Reads_non_singletons_gap	1.365	Total	Temp	Maintained	7.5	25	80
10H-A-DNA_Reads_non_singletons_gap	1.351	Total	Temp	Maintained	7.5	25	80
11H-A-DNA_Reads_non_singletons_gap	1.360	Total	Temp	Maintained	7.5	25	80
13H-A-DNA_Reads_non_singletons_gap	1.876	Total	Temp	Perturbed	6	15	80
14H-A-DNA_Reads_non_singletons_gap	1.780	Total	Temp	Perturbed	6	15	80
15H-A-DNA_Reads_non_singletons_gap	1.853	Total	Temp	Perturbed	6	15	80
17H-A-DNA_Reads_non_singletons_gap	1.220	Total	Temp	Perturbed	4.5	15	80
18H-A-DNA_Reads_non_singletons_gap	1.235	Total	Temp	Perturbed	4.5	15	80
19H-A-DNA_Reads_non_singletons_gap	1.165	Total	Temp	Perturbed	4.5	15	80
21H-A-DNA_Reads_non_singletons_gap	1.555	Total	Temp	Perturbed	7.5	15	80
22H-A-DNA_Reads_non_singletons_gap	1.357	Total	Temp	Perturbed	7.5	15	80
23H-A-DNA_Reads_non_singletons_gap	1.329	Total	Temp	Perturbed	7.5	15	80
NBAF33-A33_Reads_non_singletons_gap	n/a	Total	Temp	Perturbed	7.5	15	80
26H-A-DNA_Reads_non_singletons_gap	1.420	Total	Temp	Perturbed	6	35	80
27H-A-DNA_Reads_non_singletons_gap	1.558	Total	Temp	Perturbed	6	35	80
28H-A-DNA_Reads_non_singletons_gap	1.556	Total	Temp	Perturbed	6	35	80
29H-A-DNA_Reads_non_singletons_gap	0.795	Total	Temp	Perturbed	4.5	35	80
30H-A-DNA_Reads_non_singletons_gap	0.741	Total	Temp	Perturbed	4.5	35	80
31H-A-DNA_Reads_non_singletons_gap	0.790	Total	Temp	Perturbed	4.5	35	80
33H-A-DNA_Reads_non_singletons_gap	1.459	Total	Temp	Perturbed	7.5	35	80
34H-A-DNA_Reads_non_singletons_gap	1.461	Total	Temp	Perturbed	7.5	35	80
35H-A-DNA_Reads_non_singletons_gap	1.482	Total	Temp	Perturbed	7.5	35	80
AOA68_Reads_non_singletons_gap	n/a	Total	Temp	Perturbed	7.5	35	80
37H-A-DNA_Reads_non_singletons_gap	1.860	Total	pH	Maintained	6	25	80
38H-A-DNA_Reads_non_singletons_gap	1.885	Total	pH	Maintained	6	25	80
39H-A-DNA_Reads_non_singletons_gap	1.838	Total	pH	Maintained	6	25	80
41H-A-DNA_Reads_non_singletons_gap	1.919	Total	pH	Maintained	6	15	80
42H-A-DNA_Reads_non_singletons_gap	1.927	Total	pH	Maintained	6	15	80
43H-A-DNA_Reads_non_singletons_gap	1.982	Total	pH	Maintained	6	15	80
AOA84_Reads_non_singletons_gap	n/a	Total	pH	Maintained	6	15	80
45H-A-DNA_Reads_non_singletons_gap	1.619	Total	pH	Maintained	6	35	80
46H-A-DNA_Reads_non_singletons_gap	1.520	Total	pH	Maintained	6	35	80
47H-A-DNA_Reads_non_singletons_gap	1.456	Total	pH	Maintained	6	35	80
NBAF45-A45_Reads_non_singletons_gap	n/a	Total	pH	Maintained	6	35	80
49H-A-DNA_Reads_non_singletons_gap	1.433	Total	pH	Perturbed	4.5	25	80
50H-A-DNA_Reads_non_singletons_gap	1.387	Total	pH	Perturbed	4.5	25	80
51H-A-DNA_Reads_non_singletons_gap	1.122	Total	pH	Perturbed	4.5	25	80
AOA100_Reads_non_singletons_gap	n/a	Total	pH	Perturbed	4.5	25	80
53H-A-DNA_Reads_non_singletons_gap	1.685	Total	pH	Perturbed	4.5	15	80
54H-A-DNA_Reads_non_singletons_gap	1.594	Total	pH	Perturbed	4.5	15	80
55H-A-DNA_Reads_non_singletons_gap	1.688	Total	pH	Perturbed	4.5	15	80
57H-A-DNA_Reads_non_singletons_gap	1.468	Total	pH	Perturbed	4.5	35	80
58H-A-DNA_Reads_non_singletons_gap	1.556	Total	pH	Perturbed	4.5	35	80
59H-A-DNA_Reads_non_singletons_gap	1.559	Total	pH	Perturbed	4.5	35	80
NBAF71-A73_reads_without_singletons_id_1	n/a	Total	pH	Perturbed	7.5	25	80
63H-A-DNA_Reads_non_singletons_gap	1.698	Total	pH	Perturbed	7.5	25	80
64H-A-DNA_Reads_non_singletons_gap	1.741	Total	pH	Perturbed	7.5	25	80
65H-A-DNA_Reads_non_singletons_gap	1.930	Total	pH	Perturbed	7.5	15	80
66H-A-DNA_Reads_non_singletons_gap	1.972	Total	pH	Perturbed	7.5	15	80
67H-A-DNA_Reads_non_singletons_gap	1.908	Total	pH	Perturbed	7.5	15	80
69H-A-DNA_Reads_non_singletons_gap	1.722	Total	pH	Perturbed	7.5	35	80
70H-A-DNA_Reads_non_singletons_gap	1.549	Total	pH	Perturbed	7.5	35	80
71H-A-DNA_Reads_non_singletons_gap	1.554	Total	pH	Perturbed	7.5	35	80
AOA140_Reads_non_singletons_gap	n/a	Total	pH	Perturbed	7.5	35	80
2H-A-DNA_Reads_non_singletons_gap	1.020	Active	Temp	Maintained	6	25	80
3H-A-DNA_Reads_non_singletons_gap	0.646	Active	Temp	Maintained	6	25	80
4H-A-DNA_Reads_non_singletons_gap	0.602	Active	Temp	Maintained	6	25	80
5H-A-DNA_Reads_non_singletons_gap	0.839	Active	Temp	Maintained	4.5	25	80
6H-A-DNA_Reads_non_singletons_gap	0.980	Active	Temp	Maintained	4.5	25	80
7H-A-DNA_Reads_non_singletons_gap	0.769	Active	Temp	Maintained	4.5	25	80
9H-A-DNA_Reads_non_singletons_gap	1.241	Active	Temp	Maintained	7.5	25	80
10H-A-DNA_Reads_non_singletons_gap	0.732	Active	Temp	Maintained	7.5	25	80
11H-A-DNA_Reads_non_singletons_gap	0.942	Active	Temp	Maintained	7.5	25	80
13H-A-DNA_Reads_non_singletons_gap	0.695	Active	Temp	Perturbed	6	15	80
14H-A-DNA_Reads_non_singletons_gap	0.629	Active	Temp	Perturbed	6	15	80
15H-A-DNA_Reads_non_singletons_gap	0.668	Active	Temp	Perturbed	6	15	80
17H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	4.5	15	80
18H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	4.5	15	80
19H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	4.5	15	80
21H-A-DNA_Reads_non_singletons_gap	0.505	Active	Temp	Perturbed	7.5	15	80
22H-A-DNA_Reads_non_singletons_gap	0.614	Active	Temp	Perturbed	7.5	15	80
23H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	7.5	15	80
NBAF33-A33_Reads_non_singletons_gap	0.597	Active	Temp	Perturbed	7.5	15	80
26H-A-DNA_Reads_non_singletons_gap	0.040	Active	Temp	Perturbed	6	35	80
27H-A-DNA_Reads_non_singletons_gap	0.070	Active	Temp	Perturbed	6	35	80
28H-A-DNA_Reads_non_singletons_gap	0.093	Active	Temp	Perturbed	6	35	80
29H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	4.5	35	80
30H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	4.5	35	80
31H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	4.5	35	80
33H-A-DNA_Reads_non_singletons_gap	0.404	Active	Temp	Perturbed	7.5	35	80
34H-A-DNA_Reads_non_singletons_gap	1.322	Active	Temp	Perturbed	7.5	35	80
35H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	7.5	35	80
AOA68_Reads_non_singletons_gap	0.578	Active	Temp	Perturbed	7.5	35	80
37H-A-DNA_Reads_non_singletons_gap	0.599	Active	pH	Maintained	6	25	80
38H-A-DNA_Reads_non_singletons_gap	1.085	Active	pH	Maintained	6	25	80
39H-A-DNA_Reads_non_singletons_gap	1.611	Active	pH	Maintained	6	25	80
41H-A-DNA_Reads_non_singletons_gap	1.558	Active	pH	Maintained	6	15	80
42H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Maintained	6	15	80
43H-A-DNA_Reads_non_singletons_gap	1.352	Active	pH	Maintained	6	15	80
AOA84_Reads_non_singletons_gap	0.976	Active	pH	Maintained	6	15	80
45H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Maintained	6	35	80
46H-A-DNA_Reads_non_singletons_gap	0.423	Active	pH	Maintained	6	35	80
47H-A-DNA_Reads_non_singletons_gap	0.308	Active	pH	Maintained	6	35	80
NBAF45-A45_Reads_non_singletons_gap	0.525	Active	pH	Maintained	6	35	80
49H-A-DNA_Reads_non_singletons_gap	1.027	Active	pH	Perturbed	4.5	25	80
50H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	25	80
51H-A-DNA_Reads_non_singletons_gap	0.957	Active	pH	Perturbed	4.5	25	80
AOA100_Reads_non_singletons_gap	0.713	Active	pH	Perturbed	4.5	25	80
53H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	15	80
54H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	15	80
55H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	15	80
57H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	35	80
58H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	35	80
59H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	35	80
NBAF71-A73_reads_without_singletons_id_1	0.000	Active	pH	Perturbed	7.5	25	80
63H-A-DNA_Reads_non_singletons_gap	0.906	Active	pH	Perturbed	7.5	25	80
64H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	7.5	25	80
65H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	7.5	15	80
66H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	7.5	15	80
67H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	7.5	15	80
69H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	7.5	35	80
70H-A-DNA_Reads_non_singletons_gap	0.841	Active	pH	Perturbed	7.5	35	80
71H-A-DNA_Reads_non_singletons_gap	0.381	Active	pH	Perturbed	7.5	35	80
AOA140_Reads_non_singletons_gap	0.058	Active	pH	Perturbed	7.5	35	80
2H-A-DNA_Reads_non_singletons_gap	1.703	Total	Temp	Maintained	6	25	75
3H-A-DNA_Reads_non_singletons_gap	1.743	Total	Temp	Maintained	6	25	75
4H-A-DNA_Reads_non_singletons_gap	1.729	Total	Temp	Maintained	6	25	75
5H-A-DNA_Reads_non_singletons_gap	1.135	Total	Temp	Maintained	4.5	25	75
6H-A-DNA_Reads_non_singletons_gap	1.139	Total	Temp	Maintained	4.5	25	75
7H-A-DNA_Reads_non_singletons_gap	1.161	Total	Temp	Maintained	4.5	25	75
9H-A-DNA_Reads_non_singletons_gap	1.354	Total	Temp	Maintained	7.5	25	75
10H-A-DNA_Reads_non_singletons_gap	1.347	Total	Temp	Maintained	7.5	25	75
11H-A-DNA_Reads_non_singletons_gap	1.353	Total	Temp	Maintained	7.5	25	75
13H-A-DNA_Reads_non_singletons_gap	1.713	Total	Temp	Perturbed	6	15	75
14H-A-DNA_Reads_non_singletons_gap	1.636	Total	Temp	Perturbed	6	15	75
15H-A-DNA_Reads_non_singletons_gap	1.714	Total	Temp	Perturbed	6	15	75
17H-A-DNA_Reads_non_singletons_gap	1.126	Total	Temp	Perturbed	4.5	15	75
18H-A-DNA_Reads_non_singletons_gap	1.108	Total	Temp	Perturbed	4.5	15	75
19H-A-DNA_Reads_non_singletons_gap	1.037	Total	Temp	Perturbed	4.5	15	75
